assignment,years,inst_clarity,hymn1_fam,hymn1_diff,hymn2_fam,hymn2_diff,notes,
assignment1,15,4,2,4,5,4,,
assignment2,17,4,5,3,1,3,I think there are a lot of phrase definitions. Maybe specify the one you are going for?,
assignment3,10,5,5,5,2,3,,
assignment4,15,5,4,5,2,4,,
assignment5,8,5,4,5,2,5,,
assignment6,15,4,5,4,3,4,,
assignment7,14,5,5,5,1,4,,
assignment8,9,5,1,4,1,3,,
assignment9,25,5,5,5,3,3,,
assignment10,13,5,3,5,2,3,,
assignment11,15,5,5,3,5,5,,
assignment12,13,4,5,5,3,3,,
assignment13,13,4,4,5,2,4,,
assignment14,No answer,4,2,4,2,3,,
assignment15,12,5,3,4,3,5,,
assignment16,16,5,1,5,1,4,,
assignment17,13,5,5,5,2,5,,
assignment18,11,1,1,3,5,5,,
assignment19,17,5,1,5,3,5,,
assignment20,5,5,1,3,5,4,,
assignment21,13,5,5,5,2,5,,
assignment22,13,4,3,4,1,3,,
assignment23,14,5,5,5,5,5,,
assignment24,14,5,5,5,4,5,,
assignment25,15,5,1,4,2,5,,
assignment26,12,5,2,5,1,3,,
assignment27,14,4,2,4,3,3,,
assignment28,25,5,4,5,5,5,,
assignment29,10,4,1,4,1,4,,
assignment30,16,5,2,5,1,4,,
assignment31,4,4,1,3,2,3,,
assignment32,15,4,5,5,4,5,,
assignment33,10,4,3,4,4,4,,
assignment34,17,5,2,5,2,4,,
assignment35,15,2,2,2,5,4,,
assignment36,17,4,4,5,4,3,I feel like you picked ambiguous phrases on purpose, but thats probably for the research part. Oh well hope I did okay
assignment37,17,3,3,5,5,5,,
assignment38,25,5,3,5,3,3,,
assignment39,14,5,3,5,3,2,,
assignment40,16,2,1,3,1,3,The excertps were very short, which made it hard to identify phrases. The 2ns one I would've only put one. I also wish I had harmony so I could identify cadences and natural pauses
assignment41,15,5,5,5,5,5,,
assignment42,16,5,5,5,1,5,,
assignment43,15,4,1,4,1,3,,
assignment44,15,5,2,4,5,5,,
assignment45,25,5,3,5,5,5,,
assignment46,25,5,4,4,3,5,,
assignment47,25,5,5,4,1,5,,
assignment48,25,5,3,4,5,4,,
assignment49,25,5,3,4,1,3,,
assignment50,25,5,4,5,3,4,,