Sequence Index, Difficulty,,,,,, Familiarity,,,,,, Clarity,,,,,
,Ann 1, 2, 3, 4, 5, Mean, Ann 1, 2, 3, 4, 5, Mean, Ann 1, 2, 3, 4, 5, Mean
0, 1, 1, 1, 1, 1, 1.0, 5, 5, 5, 4, 5, 4.8, 5, 1, 5, 4, 5, 4.0
1, 3, 1, 3, 3, 1, 2.2, 2, 3, 3, 2, 5, 3.0, 5, 5, 4, 4, 5, 4.6
2, 3, 3, 2, 1, 1, 2.0, 5, 5, 1, 5, 5, 4.2, 4, 5, 5, 4, 5, 4.6
3, 2, 3, 2, 2, 1, 2.0, 3, 1, 3, 3, 3, 2.6, 4, 1, 4, 4, 5, 3.6
4, 1, 2, 2, 1, 2, 1.6, 3, 1, 1, 5, 3, 2.6, 5, 5, 5, 3, 5, 4.6
5, 1, 1, 3, 1, 1, 1.4, 2, 1, 1, 2, 3, 1.8, 5, 5, 4, 5, 5, 4.8
6, 2, 2, 1, 4, 2, 2.2, 2, 2, 2, 2, 3, 2.2, 4, 4, 5, 2, 5, 4.0
7, 3, 1, 1, 4, 3, 2.4, 1, 1, 2, 3, 1, 1.6, 4, 5, 5, 5, 5, 4.8
8, 2, 1, 1, 1, 1, 1.2, 2, 5, 2, 4, 4, 3.4, 5, 4, 5, 4, 5, 4.6
9, 1, 2, 1, 2, 1, 1.4, 4, 5, 5, 5, 5, 4.8, 5, 5, 5, 2, 5, 4.4
10, 3, 3, 3, 3, 3, 3.0, 1, 1, 1, 1, 1, 1.0, 5, 5, 5, 2, 4, 4.2
11, 2, 1, 2, 3, 2, 2.0, 5, 2, 1, 1, 2, 2.2, 4, 5, 4, 2, 5, 4.0
12, 1, 3, 1, 3, 2, 2.0, 4, 2, 5, 4, 5, 4.0, 5, 4, 5, 4, 5, 4.6
13, 1, 1, 1, 2, 2, 1.4, 5, 5, 4, 4, 5, 4.6, 5, 5, 5, 4, 5, 4.8
14, 2, 1, 1, 3, 1, 1.6, 1, 3, 4, 1, 1, 2.0, 5, 5, 5, 4, 5, 4.8
15, 3, 2, 2, 1, 2, 2.0, 3, 3, 1, 3, 4, 2.8, 5, 5, 4, 5, 5, 4.8
16, 3, 3, 2, 1, 2, 2.2, 2, 3, 2, 3, 1, 2.2, 5, 4, 4, 3, 4, 4.0
17, 2, 1, 1, 1, 1, 1.2, 5, 5, 5, 3, 5, 4.6, 4, 5, 5, 5, 5, 4.8
18, 2, 1, 1, 3, 2, 1.8, 1, 4, 2, 3, 3, 2.6, 5, 4, 5, 5, 5, 4.8
19, 1, 2, 1, 2, 1, 1.4, 5, 2, 5, 2, 1, 3.0, 5, 4, 5, 5, 5, 4.8
Mean,,,,,,1.8,,,,,,3.0,,,,,,4.48